appid,categories,genres,short_description,detailed_description
7620,"['Single-player', 'Family Sharing']",['Strategy'],Includes Railroad Tycoon II and the expansion The Second Century It can take you from New York to South Africa. It can take you from the year 1804 to the year 2000. It can take you from penniless manual laborer to powerful multi-millionaire.,"Includes Railroad Tycoon II and the expansion The Second Century<br />
					It can take you from New York to South Africa. It can take you from the year 1804 to the year 2000. It can take you from penniless manual laborer to powerful multi-millionaire.<br />
					It can take you from a normal, well-adjusted, well-rounded person to an obsessed, singled-minded, one-tracked train head. This is a real railroad game, not just a strategy game that happens to involve railroads. If you want to hop on a plane, car or ship, hop on another game.<br />
					This game is about trains for people who love trains. Everything about the game is centered around an authentic look and feeling of the railways. Period video and pictures are interlaced with the game. The design and interface are true to the character of the fabled late 1800's railroads. A.I. opponents are based on real people. And all maps are real (based on satellite photography from US Geological Service and other sources)."
7770,"['Single-player', 'Multi-player', 'Family Sharing']",['Strategy'],X-COM: Earth's top-secret eXtraterrestrial COMbat unit The Place: America - early 21st century The Mission: Eradicate the extraterrestrials Alien forces have invaded Earth and are terrorizing the population.,"X-COM: Earth's top-secret eXtraterrestrial COMbat unit                                                <br />
					                        The Place: America - early 21st century                                                <br />
					                        The Mission: Eradicate the extraterrestrials                                                <br />
					                        Alien forces have invaded Earth and are terrorizing the population. To combat this sinister threat, a lone X-COM scientist has created the Enforcer, a high-tech fighting machine made of earthly robotics and scavenged alien technology.                                                <br />
					                        Armed with the latest high-powered weapons, the Enforcer is sent into alien hot spots to fight in adrenaline-charged battles that rage on city streets, across rooftops and in the sewers. YOU are the Enforcer.                                                <br />
					                        Powered by the same game engine as Unreal Tournament™, X-COM ENFORCER™ puts you on the front line of an alien attack."
7800,"['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Remote Play Together', 'Family Sharing']",['Action'],Be the Zombie. Kick A** and Take Brains.,"<img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/7800/extras/Stubbs_616x346_Tutorial___2020.12.17_-_19.02.05.90.png?t=1680629661"" /><h2 class=""bb_tag"">Be the Zombie. Kick A** and Take Brains</h2>It’s 1959 and the city of Punchbowl, PA, is a beacon of progress and ideal living. Show the living that law and order are no match for a dead man on a mission. Your boyfriend’s back Maggie, and Punchbowl is gonna be in trouble!<br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/7800/extras/Stubbs_616x346_Farm_2020.12.18_-_12.51.04.14.png?t=1680629661"" /><h2 class=""bb_tag"">Eat Brains</h2> Chomp on the living and replenish your bodily arsenal of: zombie sputum, gut grenades, and the stunning unholy flatulence<br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/7800/extras/Stubbs_616x346_Police___2020.12.17_-_17.40.40.16.png?t=1680629661"" /><h2 class=""bb_tag"">Possess Punchbowl’s Population</h2> Clamp your severed hand to a barbershop quartet singer’s head and raygun away<br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/7800/extras/Stubbs_616x346_Dam___2020.12.17_-_13.50.06.50.png?t=1680629661"" /><h2 class=""bb_tag"">Build Your Zombie Horde</h2> Convert your enemies into undead allies &amp; lead a zombie assault on the living<br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/7800/extras/Stubbs_616x346_Military_2020.12.15_-_16.03.54.09.png?t=1680629661"" /><h2 class=""bb_tag"">Bring Civilization to its Knees</h2> Show the retro-futuristic city of Punchbowl, PA that they can’t escape the past<br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/7800/extras/CO_StareOff__1_.png?t=1680629661"" /><h2 class=""bb_tag"">Stubbs and Chill</h2> Invite a friend to play as Grubbs for classic couch cooperative hijinks. (Friend not included)"
7860,"['Single-player', 'Multi-player', 'Steam Cloud', 'Family Sharing']",['Action'],"War is Hell. NecroVision is a first-person shooter that takes gamers across the frantic battlegrounds of World War I and into a dark underworld of vampires, demons and dark magic.","War is Hell. NecroVision is a first-person shooter that takes gamers across the frantic battlegrounds of World War I and into a dark underworld of vampires, demons and dark magic.<br>Seeking adventure, young American Simon Bukner joins the British army in war-torn Europe of 1916. During a particularly ferocious battle, Bukner and his battalion are pushed into a series of dark trenches where they encounter mysterious phenomenon. As they move through the labyrinth they discover that there is a greater evil hiding underneath the battle-fields of the Great War — an evil that is forcing its way into our world and threatens to wipe out humanity. In the depths of this newly discovered underworld, Bukner must confront the dark forces and fight for the survival of mankind.<br><br>                    <ul class=""bb_ul""><li>An engrossing storyline blends elements of a traditional war shooter with magic and the supernatural world <br>                    </li><li>Players fight with authentic WWI era weapons, powerful magic artifacts and vampire powers <br>                    </li><li>Hordes of enemies that include humans, demons and vampires <br>                    </li><li>Massive, brutal boss battles <br>                    </li><li>Intense, fast-paced FPS combat stands out from the trend of plodding shooters <br>                    </li><li>Battle online with up to 16 players <br>                    </li></ul>"
8880,"['Single-player', 'Multi-player', 'Family Sharing']","['RPG', 'Strategy']","From a distant corner of the galaxy, an evil alien race sets in motion a sinister plan to conquer the Earth. They unleash a powerful catalyst — Energy X — that imbues the planet's worst miscreants with super-powers to bring the planet to its knees. Now Earth's only hope lies with a new breed of heroes... The Freedom Force!","From a distant corner of the galaxy, an evil alien race sets in motion a sinister plan to conquer the Earth. They unleash a powerful catalyst — Energy X — that imbues the planet's worst miscreants with super-powers to bring the planet to its knees. Now Earth's only hope lies with a new breed of heroes... The Freedom Force! <br />
Command a squad of comic book heroes in the defense of Patriot City. Choose from over a dozen heroes or create your own comic champions. Fight for freedom in over 20 action-packed missions. Restore order in a completely interactive 3D world. Take your heroes online and join the fight in multiplayer mode.*<br />
<br />
<br />
*Multiplayer available in LAN or Direct IP Only."
9000,"['Single-player', 'Steam Cloud', 'Family Sharing']",['Action'],"It's World War II and you are B.J. Blazkowicz, the Allies' most valuable agent. In the midst of the German Blitzkrieg, the Spear that pierced the side of Christ is taken from Versailles by the Nazis and secured in the impregnable Castle Wolfenstein. According to legend, no man can be defeated when he has the Spear.","<p>It's World War II and you are B.J. Blazkowicz, the Allies' most valuable agent. In the midst of the German Blitzkrieg, the Spear that pierced the side of Christ is taken from Versailles by the Nazis and secured in the impregnable Castle Wolfenstein. According to legend, no man can be defeated when he has the Spear. Hitler believes himself to be invincible with the power of the Spear as his brutal army sweeps across Europe. Your mission is to infiltrate the heavily guarded Nazi stronghold and recapture the Spear from an already unbalanced Hitler. The loss of his most coveted weapon could push him over the edge. It could also get you ripped to pieces.</p>"
10220,"['Single-player', 'Steam Achievements', 'Family Sharing']",['Action'],"Good or Insane? The choice is yours. Following the Apocalyptic end to the Postal Dude’s week in Paradise, we follow him and his insane pitbull Champ as they emigrate to its appropriately named sister city, Catharsis.","Good or Insane? The choice is yours.<br>						Following the Apocalyptic end to the Postal Dude’s week in Paradise, we follow him and his insane pitbull Champ as they emigrate to its appropriately named sister city, Catharsis. Unfortunately, due to the Global Economic Meltdown, psychotic left-wing “Green” extremism and hypocritical Government corruption, it turns out Catharsis isn’t a much better place to live.<br>						What path will you choose when faced with the antics of a hypocritical scheming Mayor? A berserk cartoon mascot with Al Qaeda ties? A former Vice-President’s cadre of Eco-Zealots? How about Gay Segway “biker” gangs, and a sociopathic cult leader Uncle with nuclear ambitions? Will you give in to your base instincts and fight fire with gasoline? Or will you rise above it to become something more, to serve and protect your fellow citizens from the rampant insanity of our modern society?<br>						<h2 class=""bb_tag"">Key features:</h2>						<ul class=""bb_ul""><li>Edgy, satirical Running With Scissors sense of humor<br>						</li><li>A world of twisted parody inspired by real people, events and philosophies<br>						</li><li>Large, detailed, interactive environments<br>						</li><li>Crazy POSTAL style Vehicle gameplay<br>						</li><li>NPC’s react to your behavior in a variety of surprising ways<br>						</li><li>Multiple story paths determined by your behavior<br>						</li><li>Celebrity characters: Super porn star Ron Jeremy, Village People Cowboy Randy Jones, Internationally hated film director Uwe Boll and Playboy Playmate Jennifer Walcott<br>						</li><li>Appearances by other popular Running With Scissors character franchises: Krotchy, Champ and the Postal Babes, who will fight along side you (or sometimes against you!)<br>						</li><li>Insane new gameplay including the Helper Monkey, Grenade Cats and the BadgerSaw<br>						</li><li>Kill Uwe Boll! (or save him!)<br>						</li></ul>"
11140,"['Single-player', 'Family Sharing']",['Adventure'],"The Sherlock Holmes series returns with this updated version of The Awakened, which brings a whole new dimension to the original title developed by Frogwares. The game puts the player into an investigation of the Cthulhu Mythos - as imagined by Father of modern horror, H.P. Lovecraft.","<h1>Sherlock Holmes The Awakened Remake</h1><p></p><br><h1>About the Game</h1>The Sherlock Holmes series returns with this updated version of The Awakened, which brings a whole new dimension to the original title developed by Frogwares. Keeping with the traditional gameplay style of the original adventure games, The Awakened has been totally rethought, offering players a new third-person view while keeping the original first-person view available also.<br><br>The game puts the player into an investigation of the myth of Cthulhu - as imagined by author H.P. Lovecraft.  Sherlock Holmes, assisted by the loyal Doctor Watson, investigates strange disappearances which seem related to the activity of a secret sect. The adventure begins in London, in the renowned Baker Street, taking us to investigate a disturbing psychiatric hospital near Bale, Switzerland, on to Louisiana and finally to Scotland.<br><br>					Key Features<br>					<ul class=""bb_ul""><li>2 points-of-view available at all times: new gameplay in 3rd person, giving a new dimension to the original game, or classic first- person point-of-view.<br>					</li><li>An original confrontation between the universe of Sherlock Holmes and the myth of Cthulhu - a fight between the rational and the supernatural.<br>					</li><li>Rich graphics, biting dialogue, disturbing characters and an excellent sound track create incredible turn of the century atmospheres.<br>					</li><li>Play as the famous detective Sherlock Holmes and his loyal friend Doctor Watson.<br>					</li><li>A new help system that shows the interactions available (objects and actions).<br>					</li><li>Interact with more than 60 characters in 5 disturbing universes.<br>					</li><li>Use and combine more than 50 objects, and discover hundreds of clues and documents to carry out the investigation to its final outcome.<br>					</li></ul><br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/11140/extras/follow-us-on-twitter-615x120.png?t=1667208997"" /><br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/11140/extras/like-us-on-facebook-615x120.png?t=1667208997"" />"
11200,"['Single-player', 'Multi-player', 'Shared/Split Screen', 'Steam Trading Cards', 'Includes level editor', 'Remote Play Together', 'Family Sharing']",['Action'],"Surviving is only half the game. The award-winning atmosphere and gameplay mechanics of the original Shadowgrounds make a triumphant return in this spin off/sequel armed with a slick new feature set! Shadowgrounds Survivor tells the story of the last remaining humans on Jupiter's moon Ganymede, where the alien onslaught is in full force.","<strong>Surviving is only half the game.</strong><br>					The award-winning atmosphere and gameplay mechanics of the original Shadowgrounds make a triumphant return in this spin off/sequel armed with a slick new feature set!<br>					Shadowgrounds Survivor tells the story of the last remaining humans on Jupiter's moon Ganymede, where the alien onslaught is in full force.<br>					<ul class=""bb_ul""><li><strong>3 playable characters</strong> with impressive new tactics<br>					</li><li><strong>RPG-like upgrade system</strong> for weapons and characters - including special attacks such as the all-engrossing Napalm Flame and the mighty Brute Slayer.<br>					</li><li><strong>Campaign mode</strong> deepens the Shadowgrounds story and expands it to new locations, including snow and ice environments, an abandoned cargo tunnel and the suffering New Atlantis colony.<br>					</li><li><strong>Survival mode</strong> focuses on all-out alien slaughtering action – choose a character to suit your playing style and blast the aliens back to outer space! <br>					</li><li><strong>New gameplay features</strong> such as the Sentry Turret and the powerful Mech!<br>					</li><li><strong>New graphics enhancements</strong> including raging snowstorm effects, new weapon effects and much more.<br>					</li><li><strong>AGEIA PhysX</strong> brings the world alive with hundreds of physics objects that take the destruction to the next level.<br>					</li><li><strong>Editor tools</strong> allow players to take part in the active Shadowgrounds mod community - or just enjoy the results!</li></ul>"
12160,"['Um jogador', 'Multijogador', 'Compartilhamento em família']",['Corrida'],"The world's most notorious drivers meet each night on the streets of LA, Paris, and Tokyo. Choose from a collection of performance-enhanced cars or bikes and compete head-to-head to make a name for yourself. There are no rules. Drive anywhere in the city. Find the fastest route to win.","Os motoristas mais conhecidos do mundo se encontram todas as noites nas ruas de Los Angeles, Paris e Tokyo. Escolha entre carros e motos de última geração e compita corrida a corrida para ganhar fama e reputação. Não existem regras. Dirija em qualquer lugar da cidade. Encontre o caminho mais rápido para ganhar. Os políciais sabem que você está por ai - não seja pego. <br><ul class=""bb_ul""></ul>"
